"[61, 31.615883085886363, datetime.datetime(2020, 4, 27, 23, 29, 53, 9630)]"
"[62, 31.588380440156772, datetime.datetime(2020, 4, 27, 23, 29, 55, 9854)]"
"[63, 31.60175923027903, datetime.datetime(2020, 4, 27, 23, 29, 56, 858615)]"
"[64, 31.61487130351325, datetime.datetime(2020, 4, 27, 23, 29, 58, 706846)]"
"[65, 31.614104501214243, datetime.datetime(2020, 4, 27, 23, 30, 0, 607678)]"
"[66, 31.638432436253858, datetime.datetime(2020, 4, 27, 23, 30, 2, 409250)]"
"[67, 31.598942539853237, datetime.datetime(2020, 4, 27, 23, 30, 4, 464469)]"
"[68, 31.624077008642484, datetime.datetime(2020, 4, 27, 23, 30, 6, 260661)]"
"[69, 31.634873999033108, datetime.datetime(2020, 4, 27, 23, 30, 8, 113275)]"
"[70, 31.635280026956387, datetime.datetime(2020, 4, 27, 23, 30, 10, 8189)]"
"[71, 31.618927144655654, datetime.datetime(2020, 4, 27, 23, 30, 11, 974447)]"
"[72, 31.643673929878716, datetime.datetime(2020, 4, 27, 23, 30, 13, 765201)]"
"[73, 31.62084140112056, datetime.datetime(2020, 4, 27, 23, 30, 15, 761260)]"
"[74, 31.63140258938395, datetime.datetime(2020, 4, 27, 23, 30, 17, 611881)]"
"[75, 31.64177215153162, datetime.datetime(2020, 4, 27, 23, 30, 19, 462086)]"
"[76, 31.65201794717596, datetime.datetime(2020, 4, 27, 23, 30, 21, 311679)]"
"[77, 31.618224822889573, datetime.datetime(2020, 4, 27, 23, 30, 23, 363278)]"
"[78, 31.618449727071532, datetime.datetime(2020, 4, 27, 23, 30, 25, 259864)]"
"[79, 31.617663952270497, datetime.datetime(2020, 4, 27, 23, 30, 27, 161234)]"
"[80, 31.607139672119754, datetime.datetime(2020, 4, 27, 23, 30, 29, 109443)]"
"[81, 31.626935226552025, datetime.datetime(2020, 4, 27, 23, 30, 30, 911516)]"
"[82, 31.624142909970598, datetime.datetime(2020, 4, 27, 23, 30, 32, 822361)]"
"[83, 31.595005722830418, datetime.datetime(2020, 4, 27, 23, 30, 34, 864872)]"
"[84, 31.604567679148907, datetime.datetime(2020, 4, 27, 23, 30, 36, 715687)]"
"[85, 31.60496362756098, datetime.datetime(2020, 4, 27, 23, 30, 38, 612076)]"
"[86, 31.584434019247478, datetime.datetime(2020, 4, 27, 23, 30, 40, 616648)]"
"[87, 31.585668982539488, datetime.datetime(2020, 4, 27, 23, 30, 42, 509847)]"
"[88, 31.58547998965791, datetime.datetime(2020, 4, 27, 23, 30, 44, 410440)]"
"[89, 31.566752967266552, datetime.datetime(2020, 4, 27, 23, 30, 46, 410355)]"
"[90, 31.567056191631742, datetime.datetime(2020, 4, 27, 23, 30, 48, 309436)]"
"[91, 31.548627273493317, datetime.datetime(2020, 4, 27, 23, 30, 50, 311189)]"
"[92, 31.548918291176044, datetime.datetime(2020, 4, 27, 23, 30, 52, 211407)]"
"[93, 31.54941803993932, datetime.datetime(2020, 4, 27, 23, 30, 54, 110407)]"
"[94, 31.540708781776946, datetime.datetime(2020, 4, 27, 23, 30, 56, 61570)]"
"[95, 31.550173424694645, datetime.datetime(2020, 4, 27, 23, 30, 57, 909636)]"
"[96, 31.522429268003457, datetime.datetime(2020, 4, 27, 23, 30, 59, 972112)]"
"[97, 31.524386562914778, datetime.datetime(2020, 4, 27, 23, 31, 1, 864005)]"
"[98, 31.5253464801336, datetime.datetime(2020, 4, 27, 23, 31, 3, 761609)]"
"[99, 31.517001095804957, datetime.datetime(2020, 4, 27, 23, 31, 5, 714730)]"
"[100, 31.51828841436713, datetime.datetime(2020, 4, 27, 23, 31, 7, 610689)]"
